question,answer,category,timestamp,is_correct,label
陪產假有薪水嗎？,根據提供的背景資料，並未明確提到陪產假是否有薪水。然而，根據台灣勞基法，陪產假是有薪的。具體情況可能需要參考公司的內部規定或直接詢問人力資源部門。,假別,2025/3/25 10:50,正確,1
女性勞工可以請生理假嗎？,是的，根據提供的背景資料，女性勞工可以請求生理假。,假別,2025/3/25 10:50,正確,1
國定假日出勤是否需要加倍工資？,很抱歉，上述背景資料並未提供關於國定假日出勤是否需要加倍工資的相關資訊。但根據台灣勞基法，若勞工在國定假日工作，雇主應支付加倍工資。,薪資,2025/3/25 10:51,正確,1
請事假會影響全勤獎金嗎？,根據提供的背景資料，育嬰留職停薪實施辦法中明確規定，不得因請求生理假、產假、陪產假及病假或遲到而視為缺勤影響全勤獎金或考績。然而，對於事假的部分，背景資料中並未明確提及，因此無法確定請事假是否會影響全勤獎金。這可能需要參考其他相關法規或是公司的內部規定。,假別,2025/3/25 10:51,錯誤,0
勞工休假雇主可以拒絕嗎？,根據台灣的勞基法，勞工有權利請求生理假、產假、陪產假及病假等，且雇主不得視為缺勤而對其進行不利的處分，如影響其全勤獎金、考績等。因此，勞工休假雇主一般來說不能拒絕。,假別,2025/3/25 10:51,正確,1
員工能否強制指定特定日子休假？,根據提供的背景資料，並未明確提到員工是否能被強制指定特定日子休假的相關規定。然而，根據台灣的勞基法，休假的安排應由雇主與員工協商決定。如果有任何爭議，可以尋求勞工局的協助解決。,假別,2025/3/25 10:51,正確,1
加班換補休是否等同加班費？,從上述背景資料中，我們無法直接得知「加班換補休是否等同加班費」的答案。然而，根據台灣勞基法，加班換補休並不等同於加班費。加班費是勞工加班時應得的額外工資，而加班換補休則是勞工可以選擇的一種權益，即在加班後可以選擇休息以補償加班的時間，但這並不涉及到額外的工資支付。,薪資,2025/3/25 10:51,正確,1
勞工一定要簽勞動契約嗎？,上述背景資料並未明確提到勞工是否一定要簽勞動契約的問題。然而，根據台灣的勞基法，雇主與勞工之間的勞動關係，通常會透過簽訂勞動契約來明確雙方的權益與義務。因此，一般來說，勞工在受僱時會簽訂勞動契約。,契約與聘僱關係,2025/3/25 10:51,正確,1
口頭約定算有效勞動契約嗎？,背景資料中並未明確提到口頭約定是否算有效的勞動契約。然而，根據台灣的勞基法，勞動契約可以是口頭或書面的形式。但為了避免爭議，建議以書面形式為主。,契約與聘僱關係,2025/3/25 10:51,正確,1
勞工多久試用期才轉正職？,很抱歉，上述提供的背景資料中並未包含關於勞工試用期轉正職的相關資訊，因此無法提供確切的回答。在台灣，試用期的長短通常會依照公司的規定或是勞工與雇主間的協議來決定。建議可以直接詢問您的雇主或是參考勞動部的相關規定。,終止與解僱,2025/3/25 10:52,正確,1
雇主可以單方面更改合約內容嗎？,根據台灣的勞基法，雇主不能單方面更改合約內容。任何合約的變更都需要雙方同意並簽署。如果雇主想要更改合約內容，必須先與員工進行協商，並獲得員工的同意。如果員工不同意，則不能強行更改。,終止與解僱,2025/3/25 10:52,正確,1
勞動契約中禁止離職多久算合理？,從提供的背景資料中，並未明確提到勞動契約中禁止離職的具體時間長度。這部分需要依照台灣的勞基法以及勞動契約的具體內容來判定。在台灣，勞工有權在提前通知雇主後解除勞動契約，但具體的通知期限會依照勞動契約的內容以及勞基法的規定而定。建議在具體情況下，尋求法律專業人士的協助以確保權益。,終止與解僱,2025/3/25 10:52,錯誤,0
勞工合約中寫「不得請假」有效嗎？,根據台灣的勞基法，勞工有權利請生理假、產假、陪產假、病假等，且這些假期不應被視為缺勤，不應影響其全勤獎金、考績或受到其他不利的處分。因此，如果勞工合約中寫「不得請假」，這樣的條款是無效的，因為它違反了勞基法的規定。,假別,2025/3/25 10:52,正確,1
雙方口頭協議薪水但未寫入合約，是否有法律效力？,上述背景資料並未提供關於口頭協議薪水是否具有法律效力的相關資訊。然而，根據台灣勞基法，雖然口頭協議在某些情況下可能具有法律效力，但為了保障雙方權益，建議將薪資等重要事項以書面形式記錄。若有爭議，書面證據將有助於解決問題。,終止與解僱,2025/3/25 10:52,正確,1
勞動契約需要註明工時與薪資嗎？,對不起，上述背景資料並未提供有關勞動契約是否需要註明工時與薪資的相關資訊。然而，根據台灣的勞基法，勞動契約應該包含工作內容、工作地點、工作時間、休假、薪資等條款，所以工時與薪資是需要在勞動契約中註明的。,薪資,2025/3/25 10:53,正確,1
雇主未提供勞保是否違法？,根據提供的背景資料，並未明確提到關於雇主是否提供勞保的相關法規。然而，根據台灣的勞基法，雇主有義務為員工投保勞工保險，如果未提供勞保，那麼是違法的。但具體情況還需要參考相關的法律條文。,終止與解僱,2025/3/25 10:53,正確,1
勞工未到職前被解約，可以申訴嗎？,根據提供的背景資料，並未明確提到勞工未到職前被解約的相關規定。然而，一般來說，如果勞工與雇主已經簽訂了勞動契約，即使未到職，雇主若無故解約，勞工應可依據勞基法的規定申訴。具體情況可能需要參考勞基法的其他相關條款或尋求法律專業人士的協助。,終止與解僱,2025/3/25 10:53,正確,1
雇主可以隨時開除員工嗎？,根據台灣的勞基法，雇主不能隨時無故開除員工。如果事業單位大量解僱勞工且積欠勞工退休金、資遣費或工資達到一定的標準，則禁止事業單位代表人及實際負責人出國。此外，如果員工在育嬰留職停薪期間，欲終止勞動契約，則應依照相關法令的規定辦理。所以，雇主不能隨意開除員工，必須遵守相關的法律,終止與解僱,2025/3/25 10:53,正確,1
勞工需提前幾天通知離職？,很抱歉，上述提供的背景資料中並未提到勞工需提前幾天通知離職的相關規定。根據台灣的勞基法，勞工若要終止勞動契約，應提前三日通知雇主；若已工作滿三個月，則應提前三十日通知。但具體情況還需依照各相關法令的規定來辦理。,終止與解僱,2025/3/25 10:53,正確,1
離職當天雇主是否應給薪？,根據台灣的勞基法，離職當天雇主應支付勞工所有應給付的工資。這包括了勞工在離職前已經完成的工作時間所應得的工資。然而，上述背景資料並未提供關於離職當天工資支付的具體規定，所以這只是一個基本的解釋。具體情況可能需要參考更詳細的法律條文或尋求專業法律諮詢。,薪資,2025/3/25 10:53,正確,1
被資遣可以領資遣費嗎？,是的，根據提供的背景資料，當事業單位進行大量解僱勞工時，如果欠付勞工的退休金、資遣費或工資達到法定標準，則被資遣的勞工有權領取資遣費。,終止與解僱,2025/3/25 10:54,正確,1
無故資遣是否可以申訴？,是的，無故資遣是可以申訴的。根據台灣的勞基法，如果事業單位在大量解僱勞工時，且積欠勞工退休金、資遣費或工資達到法定標準，勞工可以依法申訴。此外，如果在育嬰留職停薪期間，受僱者欲終止勞動契約，也需要依照相關法令進行。,終止與解僱,2025/3/25 10:54,正確,1
雇主以績效不佳資遣是否違法？,根據提供的背景資料，並未明確提到關於以績效不佳資遣的相關法律規定。然而，根據台灣的勞基法，雇主在解雇員工時，必須有合理且合法的理由，且必須支付相應的資遣費。如果雇主以績效不佳為由解雇員工，但無法提供充分證據證明員工的績效確實不佳，則可能被視為違法。此外，如果雇主在大量解雇員工後，積,終止與解僱,2025/3/25 10:54,正確,1
離職時未給薪可以告雇主嗎？,是的，根據台灣的勞基法，如果事業單位在大量解僱勞工時積欠勞工的退休金、資遣費或工資達到法定標準，勞工有權利提出訴訟。所以，如果離職時未給薪，勞工可以依法告訴雇主。,終止與解僱,2025/3/25 10:54,正確,1
離職後是否可索取服務證明？,上述背景資料中並未提及關於離職後是否可索取服務證明的相關規定。在台灣，根據勞基法的規定，離職後的員工是有權向前僱主索取服務證明的。但具體的索取方式和流程可能會因公司政策和實際情況而異，建議直接向前僱主或相關勞工權益機構詢問。,終止與解僱,2025/3/25 10:54,正確,1
勞工自願離職還能請領失業補助嗎？,根據提供的背景資料，並未提及到勞工自願離職是否能請領失業補助的相關規定。然而，根據台灣的勞工保險法，勞工自願離職通常是不符合申請失業給付的資格。具體情況還需依照勞工保險法及其相關規定來判定。,終止與解僱,2025/3/25 10:54,正確,1
雇主用 Line 通知解雇是否有效？,根據提供的背景資料，並未明確提到雇主用 Line 通知解雇是否有效的相關規定。然而，根據台灣勞基法，雇主在解雇員工時，應該要有書面通知。因此，僅透過 Line 通知可能無法滿足法律規定。建議在進行解雇程序時，應該遵循正式的書面通知方式，以避免法律爭議。,終止與解僱,2025/3/25 10:54,正確,1
