question,answer_gpt,is_correct
雇主沒按時發薪怎麼處理？,根據提供的法規資訊，如果雇主未按時發薪，受僱者可以依據「勞資爭議調解辦法」向直轄市、縣（市）主管機關提出調解申請。在申請調解時，地方主管機關應向申請人說明調解方式，包括選擇透過地方主管機關指派調,正確
勞工離職當月的薪水怎麼算？,根據提供的背景資訊，並未明確提到勞工離職當月的薪水如何計算。然而，通常來說，離職當月的薪水會根據勞工實際工作的天數以及工資標準來計算。若有特殊情況如請假、病假等，可能會依照相關法規進行調整。具體計算,錯誤
可以以現金發薪嗎？,根據提供的背景資訊，並未明確提到是否可以以現金發薪。在實際情況中，是否可以以現金發薪可能需要依照各地的勞動法規或公司政策來決定。建議可以查詢相關的勞動法規或向勞工權益相關機構進行詢問。,錯誤
最低工資目前是多少？,對不起，我無法從提供的背景資訊中找到最低工資的相關資訊。請查詢最新的勞動法規或聯絡相關勞工權益機構以獲得最準確的資訊。,錯誤
試用期可以給低於最低工資嗎？,根據提供的背景資訊，並未提到試用期工資的相關規定。然而，一般來說，試用期的工資不應低於最低工資，這是勞動基準法的規定。如果需要更詳細的資訊，建議查詢相關勞動法規或諮詢勞工權益專業人士。,錯誤
薪資單需要明細嗎？,根據提供的背景資訊，並未提及薪資單是否需要明細的相關規定。您可能需要參考其他相關的勞動法規或是詢問專業的勞工顧問。,錯誤
遲到三次可以直接扣半天薪水嗎？,根據提供的背景資訊，並未明確提到遲到三次可以直接扣半天薪水的相關規定。具體的處理方式可能需要依照公司的內部規定或是相關勞動法規來決定。建議可以進一步查詢相關法規或是詢問公司的人資部門。,錯誤
特休假是如何累積的？,對不起，我無法在提供的背景資料中找到特休假累積的相關資訊。我可以告訴你的是，特休假的累積通常是根據勞工的工作年資以及相關的勞動法規來決定的。具體的累積方式可能會因地區和公司政策而異。如果你需要更詳細的資訊，我建議你參考相關的勞動法,錯誤
勞工可以當月請未滿額特休嗎？,根據提供的背景資訊，並未明確提到勞工是否可以當月請未滿額的特休。這部分可能需要參考其他相關法規或是直接詢問勞工權益相關單位以獲得更準確的資訊。,錯誤
婚假最多可以請幾天？,根據勞工請假規則，勞工結婚者可以請婚假八日。,正確
陪產假有薪水嗎？,從提供的背景資訊中，並未明確提到陪產假的相關規定，因此無法確定陪產假是否有薪水。建議您可以參考相關勞動法規或向勞工局查詢更詳細的資訊。,錯誤
女性勞工可以請生理假嗎？,根據提供的資訊，雖然沒有明確提到女性勞工是否可以請生理假，但在「勞動基準法施行細則」中提到，依性別平等工作法請生理假、產假、家庭照顧假或安胎休養，致減少工資者。因此，可以推斷女性勞工是可以請生理假的。,正確
國定假日出勤是否需要加倍工資？,對於您的問題，很抱歉在提供的背景資訊中並未包含關於國定假日出勤是否需要加倍工資的相關資訊，因此無法給予確定的回答。建議您可以參考相關的勞動法規或是詢問勞工局以獲得更準確的資訊。,錯誤
請事假會影響全勤獎金嗎？,根據提供的背景資訊，並未明確提到全勤獎金與請事假的相關規定。全勤獎金的發放通常由公司的內部規定或是勞工與雇主間的契約來決定。如果公司規定或勞工與雇主的契約中有明確說明請事假會影響全勤獎金的發放，那麼就會,錯誤
勞工休假雇主可以拒絕嗎？,對於您的問題，提供的背景資訊中並未包含有關勞工休假與雇主是否可以拒絕的相關法規內容。建議您可以參考《勞動基準法》或相關勞工權益法規來獲得更準確的資訊。,錯誤
員工能否強制指定特定日子休假？,根據提供的背景資訊，並未明確提到員工是否能強制指定特定日子休假的相關規定。然而，有提到特別休假日由勞工排定，未休畢應折算工資。這可能暗示員工有權利自行選擇休假的日期。但為了確定，建議直接參考勞動基準法或向相關勞工權益,錯誤
加班換補休是否等同加班費？,根據提供的背景資訊，並未明確提到加班換補休是否等同於加班費。然而，一般來說，加班換補休和加班費是兩種不同的補償方式。加班費是勞工加班後，雇主按照法定的加班費率支付給勞工的金錢補償。而加班換補休則是勞工在加班,錯誤
勞工一定要簽勞動契約嗎？,對於您的問題，我無法在提供的資料中找到明確的答案。但一般來說，根據台灣的勞動法規，雇主與勞工之間建立的勞動關係，應當以簽訂勞動契約為原則，以明確雙方的權利與義務。如果您需要更詳細的資訊，建議您參考相關的勞動法,錯誤
口頭約定算有效勞動契約嗎？,對不起，我無法在提供的資料中找到關於「口頭約定是否算有效勞動契約」的相關資訊。我建議您參考相關的勞動法規或尋求專業法律諮詢。,錯誤
勞工多久試用期才轉正職？,對不起，提供的背景資訊中並未包含有關勞工試用期轉正職的相關規定，我無法提供確切的答案。這部分的規定可能會因地區和公司政策而異，建議您可以直接詢問您的雇主或是相關勞工權益機構。,錯誤
雇主可以單方面更改合約內容嗎？,根據提供的背景資訊，雇主不能單方面更改合約內容。如果事業單位未經與勞工協商同意，仍應依約給付工資，不得片面減少工資。如果勞工因雇主有違反勞動契約而損害其權益，他們可以依據勞動基準法第十四條規定終止勞動契約，,正確
勞動契約中禁止離職多久算合理？,"對不起，提供的背景資訊中並未包含關於""勞動契約中禁止離職多久算合理""的相關規定，因此無法提供確切的答案。建議您可以參考相關的勞動法規或是尋求法律專業人士的協助。",錯誤
勞工合約中寫「不得請假」有效嗎？,根據台灣勞動法，勞工有權利依法享有休假，包括例假、特休等。因此，如果勞工合約中寫「不得請假」，這樣的條款是無效的，因為它違反了勞工的合法權益。如果勞工因此受到損害，可以依據勞動基準法第十四條規定終止勞動契約，,正確
雙方口頭協議薪水但未寫入合約，是否有法律效力？,根據提供的背景資訊，並未直接提到關於口頭協議薪水是否具有法律效力的相關規定。然而，一般來說，口頭協議在法律上可能難以證明，因此建議雙方在協議薪水或其他勞動條件時，最好能以書面形式記錄，以保障雙方權益。如有更詳細的法律問,正確
勞動契約需要註明工時與薪資嗎？,很抱歉，提供的背景資訊中並未包含有關勞動契約是否需要註明工時與薪資的相關資訊，因此無法提供確切的回答。然而，一般來說，勞動契約通常會包含工作時間、薪資等重要條款，以保障雙方權益。具體的規定可能會因地區和法律而異，建議,錯誤
雇主未提供勞保是否違法？,根據提供的背景資訊，並未明確提到雇主未提供勞工保險是否違法的相關規定。然而，一般來說，根據台灣的勞工保險法，雇主有義務為員工投保勞工保險，若未投保可能會被視為違法。具體的法律規定和處罰，建議您參考勞工保險法或,正確
勞工未到職前被解約，可以申訴嗎？,對於您的問題，我無法在提供的資料中找到明確的答案。然而，一般來說，如果勞工在未到職前被解約，是否可以申訴取決於勞工與雇主之間的合約條款以及相關的勞動法規。建議您尋求法律專業人士的協助，以獲得更準確的建議。,錯誤
雇主可以隨時開除員工嗎？,根據提供的背景資訊，並未明確提到雇主是否可以隨時開除員工的相關規定。然而，通常在勞工法規中，雇主不能隨意開除員工，必須符合一定的條件或程序，例如嚴重違反公司規定、業績不佳等。具體的規定可能會因地區和國家的法律而異。如果需要更詳細的資訊，,錯誤
勞工需提前幾天通知離職？,對不起，提供的背景資訊中並未包含勞工需提前幾天通知離職的相關資訊。請提供更多相關的資訊以便我能提供更準確的回答。,錯誤
離職當天雇主是否應給薪？,根據提供的背景資訊，並未提及離職當天雇主是否應給薪的相關規定，可能需要參考其他相關勞動法規或是詢問勞工權益相關機構。,錯誤
被資遣可以領資遣費嗎？,根據提供的背景資訊，並未明確提到被資遣的勞工是否可以領取資遣費。然而，根據一般的勞動法規，如果勞工被資遣，通常有權領取資遣費，具體的金額和條件可能會根據各地的法律和勞工的工作年資等因素有所不同。建議您可以查詢相關的,錯誤
無故資遣是否可以申訴？,根據提供的背景資訊，並未明確提到無故資遣是否可以申訴的相關規定。然而，一般來說，如果勞工認為自己被無故資遣，可以依照勞動基準法的規定向勞工局或相關機構提出申訴。建議在具體情況下，尋求法律專業人士的協助，以,錯誤
雇主以績效不佳資遣是否違法？,根據提供的背景資訊，並未提供有關雇主以績效不佳資遣是否違法的相關法規。此類問題通常需要參考《勞動基準法》或其他相關勞動法規。建議您直接諮詢勞動部或相關法律專業人士以獲得更準確的資訊。,錯誤
離職時未給薪可以告雇主嗎？,根據提供的背景資訊，並未直接提到離職時未給薪是否可以告雇主的相關法規。然而，一般來說，如果雇主在員工離職時未支付應給薪資，員工可以根據勞動法規，向勞工局或相關主管機關提出申訴或訴訟。具體的法律程序和可能的結果可能會根,錯誤
離職後是否可索取服務證明？,根據提供的背景資訊，並未提及離職後是否可以索取服務證明的相關規定。您可能需要參考其他相關法規或直接向勞工局或公司人事部門詢問。,錯誤
勞工自願離職還能請領失業補助嗎？,根據提供的背景資訊，並未明確提到勞工自願離職是否能請領失業補助的相關規定。在實際情況中，這通常需要參考當地的勞動法規或社會保障法規。建議您直接詢問相關勞工權益機構或查詢相關法規以獲得最準確的資訊。,錯誤
雇主用 Line 通知解雇是否有效？,根據提供的背景資訊，並未明確提及雇主是否可以透過 Line 通知解雇員工。然而，一般來說，解雇通知應該要有書面證明，以保障雙方權益。建議在具體情況下，參考相關勞動法規或尋求法律專業人士的建議。,錯誤
